No,ErrorCode,Name,Action,Image,Name_En,Action_En,Name_Ch,Action_Ch,Name_Kr,Action_Kr
0,0,NONE,,,,,,,,
1,10000,SYS_ERROR,,,,,,,,
2,10001,SYS_EMG_FRONT_LEFT,In : X0004 입력 확인,,,,,,,In : X0004 입력 확인
3,10002,SYS_EMG_FRONT_RIGHT,,,,,,,,
4,10003,SYS_EMG_REAR_LEFT,,,,,,,,
5,10004,SYS_EMG_REAR_RIGHT,,,,,,,,
6,10005,SYS_MAIN_VACUUM_OFF_CHECK,,,,,,,,
7,10006,SYS_WHEEL_FILE_NOT_SELECT,GUI Wheelmode 에서 File name 설정 필요함.,,,,,,,GUI Wheelmode 에서 File name 설정 필요함.
8,10007,SYS_WHEEL_FILE_SAVE_ERROR,,,,,,,,
9,10008,SYS_LEAKAGE_01_CHECK_ERROR,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066",,,,,,,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066"
10,10009,SYS_LEAKAGE_02_CHECK_ERROR,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066",,,,,,,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066"
11,10010,SYS_LEAKAGE_03_CHECK_ERROR,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066",,,,,,,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066"
12,10011,SYS_LEAKAGE_04_CHECK_ERROR,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066",,,,,,,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066"
13,10012,SYS_LEAKAGE_05_CHECK_ERROR,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066",,,,,,,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066"
14,10013,SYS_LEAKAGE_06_CHECK_ERROR,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066",,,,,,,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066"
15,10014,SYS_LEAKAGE_07_CHECK_ERROR,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066",,,,,,,"설비 누수 발생 확인 필요
'In : X0060 ~ X0066"
16,10015,CHILLER_ALARM_ERROR,,,,,,,,
17,10016,CHILLER_NOT_RUN_ERROR,,,,,,,,
18,10017,CHILLER_DIW_01_NOT_ON_ERROR,,,,,,,,
19,10018,CHILLER_DIW_02_NOT_ON_ERROR,,,,,,,,
20,300000,STAG_ERROR,Stage 1 Servo on time 시간 초과,,,,,,,Stage 1 Servo on time 시간 초과
21,310000,STAG1_ERROR,Stage 1 Home 완료 시간 초과,,,,,,,Stage 1 Home 완료 시간 초과
22,310001,STAGE_1_SERVO_ON_TIMEOUT_ERROR,Stage 1 WarmUp 진행시 Water/ Dress 가동  완료 시간 초과,,,,,,,Stage 1 WarmUp 진행시 Water/ Dress 가동  완료 시간 초과
23,310002,STAGE_1_HOMING_TIMEOUT_ERROR,,,,,,,,
24,310003,STAGE_1_WARMUP_TIMEOUT_ERROR,,,,,,,,
25,310004,STAGE_1_WAFER_GRINDING_TIMEOUT_ERROR,,,,,,,,
26,310005,STAGE_1_DRESSING_TIMEOUT_ERROR,,,,,,,,
27,310006,STAGE_1_TABLE_GRINDING_TIMEOUT_ERROR,"WTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0014 : WHEEL TOOL SETTER CHECK (WTS)",,,,,,,"WTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0014 : WHEEL TOOL SETTER CHECK (WTS)"
28,310007,STAGE_1_WHEEL_JIG_NOT_CHECK_ERROR,"WTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0014 : WHEEL TOOL SETTER CHECK (WTS)",,,,,,,"WTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0014 : WHEEL TOOL SETTER CHECK (WTS)"
29,310008,STAGE_1_WHEEL_TOOLSETTER_ON_ERROR,"1. WTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0014 : WHEEL TOOL SETTER CHECK (WTS)
2. Wheel 측정 Base Parameter 확인 필요.",,,,,,,"1. WTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0014 : WHEEL TOOL SETTER CHECK (WTS)
2. Wheel 측정 Base Parameter 확인 필요."
30,310009,STAGE_1_WHEEL_TOOLSETTER_OFF_ERROR,"WTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0014 : WHEEL TOOL SETTER CHECK (WTS)",,,,,,,"WTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0014 : WHEEL TOOL SETTER CHECK (WTS)"
31,310010,STAGE_1_WHEEL_TOOLSETTER_DETECT_FIND_LIMIT_ERROR,"DTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0015 : DRESS TOOL SETTER CHECK (DTS)",,,,,,,"DTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0015 : DRESS TOOL SETTER CHECK (DTS)"
32,310011,STAGE_1_WHEEL_TOOLSETTER_ESCAPE_DOWN_LIMIT_ERROR,"DTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0015 : DRESS TOOL SETTER CHECK (DTS)",,,,,,,"DTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0015 : DRESS TOOL SETTER CHECK (DTS)"
33,310012,STAGE_1_DRESS_TOOLSETTER_ON_ERROR,"1. DTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
 X0015 : DRESS TOOL SETTER CHECK (DTS)
2. Dress 측정 Base Parameter 확인 필요.",,,,,,,"1. DTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
 X0015 : DRESS TOOL SETTER CHECK (DTS)
2. Dress 측정 Base Parameter 확인 필요."
34,310013,STAGE_1_DRESS_TOOLSETTER_OFF_ERROR,"DTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0015 : DRESS TOOL SETTER CHECK (DTS)",,,,,,,"DTS 의 On/Off 상태 점검 필요. 
 - 비접촉시 ( On), , 접촉시 (Off) 확인 필요
X0015 : DRESS TOOL SETTER CHECK (DTS)"
35,310014,STAGE_1_DRESS_TOOLSETTER_DETECT_FIND_LIMIT_ERROR,,,,,,,,
36,310015,STAGE_1_DRESS_TOOLSETTER_ESCAPE_DOWN_LIMIT_ERROR,"Pump Flow Low Error 발생으로 I/O 및 Pump 상태 확인 필요
X0019 : VACUUM PUMP FLOW LOW ALARM CHECK",,,,,,,"Pump Flow Low Error 발생으로 I/O 및 Pump 상태 확인 필요
X0019 : VACUUM PUMP FLOW LOW ALARM CHECK"
37,310016,STAGE1_PUMP_ERROR,"Pump Temp Error 발생으로 I/O 및 Pump 상태 확인 필요
X001A : VACUUM PUMP TEMP. HIGH ALARM CHECK",,,,,,,"Pump Temp Error 발생으로 I/O 및 Pump 상태 확인 필요
X001A : VACUUM PUMP TEMP. HIGH ALARM CHECK"
38,310017,STAGE1_PUMP_LOW_ERROR,"Pump Overload Error 발생으로 I/O 및 Pump 상태 확인 필요
X001B : VACUUM PUMP OVERLOAD ALARM CHECK",,,,,,,"Pump Overload Error 발생으로 I/O 및 Pump 상태 확인 필요
X001B : VACUUM PUMP OVERLOAD ALARM CHECK"
39,310018,STAGE1_PUMP_HIGH_ERROR,"Pump Run Error 발생으로 I/O 및 Pump 상태 확인 필요
X0018 : VACUUM PUMP RUN CHECK
Y0018 : VACUUM PUMP RUN",,,,,,,"Pump Run Error 발생으로 I/O 및 Pump 상태 확인 필요
X0018 : VACUUM PUMP RUN CHECK
Y0018 : VACUUM PUMP RUN"
